food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Mango raita (Aam ka raita),67.37,1265.89,571.90,130.30,6.93,136.06,113.36,19.01,135.46,240.21,0.34,0.04
Guava raita (Amarood ka raita),64.36,1227.90,540.96,144.15,6.93,136.93,117.29,19.61,135.94,283.96,0.28,0.06
Grapes raita (Angoor ka raita),72.59,1243.61,533.47,129.36,6.93,134.52,116.26,17.07,135.64,247.92,0.26,0.03
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,2067.13,1224.36,224.92,0.00,94.18,79.10,11.57,19.62,117.46,0.23,0.05
Pumpkin kheer (Kaddu ki kheer),86.35,2067.72,1227.81,224.51,0.00,95.61,80.25,11.48,20.99,141.55,0.24,0.05
Apple kheer (Seb ki kheer),81.30,1680.17,992.29,213.60,0.00,75.67,62.83,8.91,15.86,93.41,0.18,0.04
Caramel custard (baked),122.70,2456.56,1579.40,347.24,81.15,90.59,105.37,8.42,44.78,107.98,0.53,0.05
Vanilla ice cream without egg,228.67,11310.75,5221.95,516.93,41.70,81.27,69.83,6.63,23.97,89.96,0.10,0.03
Vanilla ice cream with egg,214.85,10235.22,5017.00,606.08,86.75,77.42,86.09,7.41,37.72,97.19,0.34,0.03
Strawberry ice cream,215.61,10193.68,4996.98,605.64,86.39,77.08,85.83,7.36,37.62,96.40,0.34,0.03
Chocochip ice cream,241.45,10773.54,5348.34,640.25,79.34,73.22,90.59,14.52,34.84,114.27,0.51,0.09
Choconut ice cream,273.96,9205.44,6886.58,1271.42,65.65,67.38,115.16,37.50,29.83,145.81,0.89,0.25
Pear chocholate sunday,183.49,7992.81,3876.07,443.48,29.11,56.67,56.29,12.33,16.26,91.18,0.24,0.07
Chocolate sauce,263.20,6489.00,2811.00,343.00,21.30,18.80,68.70,53.00,2.80,154.70,1.13,0.44
Coffee ice cream,150.62,5190.40,2307.67,368.20,22.23,95.72,84.92,9.79,42.09,132.18,0.15,0.03
Coffee pear alaska,203.99,8018.60,3934.44,448.38,28.43,60.61,55.73,8.57,51.11,107.86,0.22,0.03
Crunchy butterscotch,277.32,12607.87,6110.42,956.49,46.39,72.26,76.55,12.96,22.24,103.65,0.26,0.06
Peach melba ice cream,200.85,8892.13,4281.70,468.69,33.23,60.55,53.82,6.90,17.92,81.24,0.11,0.02
Vanilla ice cream with apples in hot cherry sauce,196.32,7111.02,3280.84,357.28,26.15,56.34,46.38,6.04,31.54,74.21,0.16,0.03
Grape and orange whip,57.39,1599.99,738.10,116.80,6.51,17.40,15.37,8.95,14.36,138.86,0.53,0.03
Honey banana cream,125.49,4124.65,1887.34,234.75,14.27,43.52,40.03,12.73,15.65,159.94,0.23,0.05
Raspberry bavarian cream,150.10,4796.92,2241.22,341.14,19.94,26.40,22.93,9.95,24.59,78.98,0.31,0.05
Fruit delight,107.09,4381.10,2010.40,213.00,12.28,71.69,61.21,6.93,17.27,96.94,0.15,0.02
Creamy chocolate mousse,230.52,10650.31,5511.22,730.70,129.13,45.25,95.04,26.51,48.64,127.50,0.96,0.18
Cold lemon souffle,169.87,5629.48,2808.45,506.60,98.14,55.03,72.62,6.74,46.35,81.69,0.53,0.02
Cold orange souffle,173.19,5652.60,2824.70,504.09,98.65,55.45,73.20,7.19,46.53,88.17,0.57,0.03
Cold pineapple souffle,181.22,5977.63,2987.06,528.95,104.39,57.13,76.29,6.79,49.38,79.86,0.54,0.03
Cold vanilla souffle,179.54,5947.10,2963.01,519.81,100.85,62.47,79.83,6.94,49.09,83.30,0.52,0.03
Cold chocolate souffle,187.53,6279.44,3151.69,532.80,98.07,62.91,88.53,14.94,47.77,104.98,0.68,0.09
Stewed fruit (with pear),74.32,61.20,21.89,64.44,0.00,5.94,5.18,5.87,1.70,68.56,0.21,0.07
Apricot fool,240.79,6722.00,3470.69,501.09,27.58,26.37,38.89,8.64,8.28,105.45,0.73,0.14
Pavlova,200.60,7679.78,3559.92,354.64,31.94,23.00,26.37,6.30,26.34,86.90,0.25,0.03
Apple crumb pudding,220.85,5353.37,2144.81,379.57,21.68,38.49,26.04,10.25,59.36,159.24,1.05,0.08
Steamed cake with chocolate sauce,301.91,11625.02,5026.73,767.64,78.72,67.76,147.54,25.73,100.32,131.49,0.85,0.18
Hot lemon souffle,155.25,4130.30,2335.07,566.49,116.79,48.77,90.50,9.20,47.75,106.74,0.55,0.04
Gulab jamun with milk powder,471.15,5034.48,8263.67,25183.02,1.25,26.13,22.38,3.16,67.28,33.68,0.13,0.04
Chum chum,130.05,1156.57,518.66,60.96,0.10,62.58,49.40,5.13,16.65,64.67,0.13,0.05
Dil bahar,130.05,1156.57,518.66,60.96,0.10,62.58,49.40,5.13,16.65,64.67,0.13,0.05
Rasbhari,130.05,1156.57,518.66,60.96,0.10,62.58,49.40,5.13,16.65,64.67,0.13,0.05
Rajbogh,133.70,1182.26,682.48,166.76,0.10,63.23,53.74,6.42,16.57,73.47,0.17,0.05
Rasgulla,118.64,1055.04,473.13,55.61,0.09,57.09,45.07,4.68,15.19,58.99,0.12,0.04
Rasmalai,135.55,1157.25,609.52,123.09,0.09,62.31,51.38,5.86,16.46,69.18,0.15,0.05
Khoa coconut burfi,411.45,17169.77,3745.23,627.03,0.00,309.84,288.22,54.94,31.14,459.51,2.10,0.28
Danedar burfi,102.68,2532.85,1494.45,262.28,0.00,107.53,94.74,11.91,23.31,116.64,0.24,0.07
Semolina burfi (Suji/Rava burfi),348.67,9527.68,4137.19,818.78,39.41,14.86,33.06,11.53,8.33,99.53,1.01,0.16
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,8418.37,1166.94,289.65,5.11,21.76,48.00,23.61,8.95,283.95,0.79,0.20
Khoa ladoo,396.02,12446.50,6739.89,1939.94,0.00,358.61,341.83,69.26,31.71,479.67,2.25,0.26
Wheat and gram flour ladoo (Atta besan ladoo),501.70,15259.65,6622.46,1899.68,60.99,35.27,122.22,44.21,27.06,224.94,2.39,0.21
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,14316.72,7287.49,1526.27,58.80,18.04,71.11,29.99,3.93,189.25,1.81,0.30
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,622.96,1411.29,2049.97,0.00,150.73,178.66,109.57,17.93,515.43,4.80,0.37
Murmura chikki,253.82,46.25,18.06,25.31,0.00,63.30,64.30,74.94,15.03,298.86,3.30,0.08
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,6926.20,11809.75,36439.39,0.00,11.06,24.35,9.65,99.22,70.11,0.42,0.05
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,8531.32,14554.42,44930.63,0.00,8.58,23.56,8.39,120.90,56.48,0.47,0.04
Chicken pakora/pakoda,590.09,7272.65,12334.67,37543.44,11.98,9.08,52.40,10.08,103.23,92.90,0.51,0.08
Fish pakora/pakoda,577.03,7231.40,12183.87,37563.48,9.04,12.65,62.72,13.44,112.24,95.62,0.63,0.05
Paneer cutlet,672.20,9680.83,14442.97,42104.15,0.00,107.86,74.91,8.93,91.45,35.43,0.48,0.05
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,6851.45,11684.42,36070.81,0.00,5.43,15.00,7.60,48.17,138.97,0.38,0.04
Poshtik cutlet,496.45,6183.05,10632.46,31907.44,0.00,14.94,33.91,18.53,57.11,195.37,0.69,0.09
Egg cutlet (Anda cutlet),575.02,7458.34,12535.33,37536.57,45.00,16.22,37.57,8.76,79.40,139.03,0.56,0.05
Minced meat cutlet,531.86,7503.58,11684.04,32693.50,16.50,20.82,52.36,8.14,95.81,88.67,0.63,0.04
Vegetable samosa,443.11,5850.13,8734.95,25774.53,4.06,10.37,30.05,14.78,107.70,189.07,0.60,0.07
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.50,9180.86,15629.67,48293.25,0.00,10.60,71.32,33.02,65.87,220.17,0.96,0.13
Masala urad dal vada,703.78,9294.42,14486.93,44567.64,0.00,11.87,71.27,33.89,61.49,232.79,1.00,0.14
Khaman (dhokla),54.73,548.83,502.39,1432.69,0.00,5.31,29.78,11.46,124.10,92.49,0.58,0.08
Instant dhokla,207.11,2116.50,1785.79,4618.67,2.59,66.58,105.74,25.80,763.98,187.95,1.05,0.12
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,54.17,62.11,135.67,0.00,23.63,25.64,20.73,209.42,227.56,1.08,0.09
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,63.52,55.65,164.25,0.00,47.59,30.87,32.52,183.98,268.71,2.06,0.12
Coriander chutney (Hare dhaniye ki chutney),42.86,77.13,55.10,160.03,0.00,39.80,30.80,27.59,186.64,269.63,1.63,0.11
Gooseberry chutney (Amla chutney),43.02,76.93,46.43,326.68,0.00,46.40,34.89,22.58,215.09,269.12,1.22,0.11
Walnut chutney (Akhrot ki chutney),370.43,3241.77,5954.92,22748.39,3.33,119.57,257.03,100.09,160.00,351.46,1.77,0.79
Saunth/Sonth chutney with ginger,84.22,14.74,19.97,22.82,0.00,15.17,9.83,14.01,222.53,82.02,0.70,0.02
Gun powder chutney,312.34,373.84,346.67,1234.67,0.00,68.87,350.62,166.84,195.67,1183.29,5.14,0.68
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,7170.12,1806.42,3556.04,0.00,73.55,215.92,101.68,321.07,821.02,5.44,0.63
Curd mint dip ,76.13,1487.04,608.22,157.24,8.34,172.79,136.88,25.58,222.77,280.81,0.82,0.04
Curd vegetable dip,56.21,1186.81,484.35,129.65,6.59,129.58,111.81,17.18,132.48,243.19,0.37,0.02
Mayonnaise vegetable dip,241.27,5037.79,12320.94,4872.03,29.91,91.42,80.69,11.86,119.58,168.95,0.28,0.01
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,3394.00,1422.96,271.27,13.52,76.75,54.61,22.08,222.22,168.24,1.15,0.09
Tomato sandwich (grilled),189.92,5289.42,2266.63,366.32,24.95,150.90,147.21,19.26,420.60,156.87,0.88,0.08
French sandwich (toasted),186.75,6209.20,3085.76,618.92,104.86,100.73,119.66,18.82,274.68,153.54,1.24,0.09
Peanut butter cucumber sandwich,243.33,2330.54,3606.49,3066.41,0.00,95.35,119.55,50.40,460.09,249.54,1.32,0.21
Mint and peanut sandwich,273.59,7170.30,3192.06,965.80,21.70,114.99,93.61,34.02,453.30,198.91,1.70,0.18
Spicy chutney sandwich,249.58,1427.72,1784.87,4791.73,2.86,154.53,127.87,34.25,315.40,256.04,1.51,0.14
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,1254.39,7422.68,3975.80,31.68,78.45,118.82,21.74,287.39,185.95,1.12,0.20
Rolled sandwich,293.07,8540.34,3627.34,611.05,35.25,117.68,76.22,17.80,321.57,144.43,1.23,0.11
Ribbon sandwich,239.26,7886.97,3336.33,606.71,34.85,157.85,156.29,23.81,382.11,152.57,1.05,0.10
Checker board sandwich,348.37,14933.64,6379.53,964.39,64.42,188.02,185.85,23.80,358.25,140.33,1.11,0.09
Submarine sandwich,216.92,2629.99,7975.42,3343.38,62.46,72.35,95.15,13.19,254.28,130.98,1.23,0.04
Cheese open sandwich,274.07,4429.64,5872.02,2057.09,28.38,256.25,266.28,23.29,504.41,147.36,1.22,0.09
Sunset and sunrise open sandwich,241.31,2538.94,7632.82,3131.09,123.49,114.07,141.03,16.08,381.29,132.15,1.28,0.08
Danish luncheon sandwich,193.82,4606.32,3020.34,772.38,124.40,77.13,111.84,17.99,365.63,164.39,1.27,0.09
Chicken and corn open sandwich,188.16,3875.21,1256.74,257.56,31.78,65.13,74.03,14.48,226.72,143.00,0.80,0.11
Chocolate sponge cake,239.86,2027.26,2000.64,639.45,173.46,33.99,140.08,36.21,61.47,167.86,1.81,0.26
Chocolate swiss roll,306.08,11557.39,5977.93,829.61,138.28,42.79,105.05,24.88,44.53,135.64,1.08,0.17
Lemon curd filling,225.62,7258.25,3484.00,649.25,118.13,16.39,50.13,3.70,34.90,47.38,0.60,0.03
Jam filling,184.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chocolate pastry,243.37,5492.35,3091.14,610.70,121.03,50.70,126.84,38.78,46.54,175.33,1.44,0.27
Assorted pastry,230.74,4717.04,2669.01,607.94,131.02,47.20,99.55,11.05,49.99,100.58,0.94,0.06
Orange gateau,178.05,3176.94,1797.28,423.92,87.91,41.69,103.77,10.77,80.41,117.51,0.89,0.05
Black forest gateau,217.82,4605.19,2592.18,530.63,107.21,46.79,127.66,26.03,79.37,138.54,1.09,0.16
Lemon cake,373.85,12385.45,5440.97,976.07,123.01,32.77,155.42,10.65,151.29,80.60,0.91,0.07
Dundee cake,396.62,10257.88,5307.85,1159.95,111.12,58.11,171.55,19.42,182.74,169.79,1.57,0.10
Victorian sandwich cake,373.09,11925.44,5244.04,913.00,117.02,36.25,152.62,9.92,145.28,74.16,0.86,0.07
Chocolate eggless cake,312.01,8211.50,3590.50,461.79,35.49,185.38,228.05,51.12,196.61,317.29,0.95,0.25
Orange eggless cake,355.62,8627.27,3665.00,515.90,40.97,205.84,221.64,26.13,226.28,277.82,0.52,0.04
Chocolate glace icing,436.29,13019.43,5570.86,691.43,44.49,26.75,115.73,87.44,8.66,264.16,2.04,0.68
Butter icing,500.72,16077.28,6453.83,873.51,65.74,12.48,7.85,2.12,5.98,13.56,0.14,0.09
Chocolate butter icing,469.59,15536.70,6576.91,828.39,54.90,31.87,115.42,87.55,4.99,258.74,1.85,0.71
Almond biscuit (Badam ke biscuit),407.74,11115.97,5751.48,1207.31,73.79,44.05,180.97,23.88,151.76,108.03,1.11,0.12
Orange biscuit,354.78,6686.72,2844.49,517.39,51.51,20.35,103.04,9.64,259.14,62.46,0.77,0.07
Gingerman biscuit,357.43,7015.98,3359.65,814.95,70.42,41.35,177.73,20.44,918.57,119.45,1.59,0.11
Coffee drops,443.07,10039.61,6128.67,9079.10,94.23,57.09,213.02,48.60,88.17,196.91,1.48,0.36
Christmas biscuit,406.07,9684.43,4055.26,753.97,64.54,29.07,158.34,16.46,127.36,98.76,1.20,0.13
Christmas wreath biscuit,386.05,9137.98,3841.65,713.28,60.87,29.71,153.81,16.47,120.20,109.25,1.21,0.13
Christmas bell biscuit,404.85,9656.35,4043.82,751.91,64.34,32.00,158.06,16.59,127.01,99.76,1.22,0.13
Christmas star biscuit,392.03,5487.48,3034.97,687.18,35.98,22.75,97.88,15.78,76.09,74.73,0.96,0.12
Christmas tree biscuit,385.63,9135.46,3825.08,716.12,60.87,35.04,150.01,16.38,120.45,102.25,1.18,0.13
Chocolate cream shells,427.17,11847.80,5007.78,845.04,80.56,28.53,147.28,20.27,126.84,97.19,1.08,0.14
Jelly biscuit,404.61,11379.83,5122.32,1318.31,44.67,36.46,181.96,29.40,110.57,118.08,1.19,0.12
Cherry and walnut cookies,422.60,8172.93,4345.91,4853.50,60.15,46.27,157.16,30.43,114.62,125.24,1.31,0.23
Cheese straws,382.00,14097.76,6666.28,1285.00,201.93,160.64,363.75,21.19,587.42,123.91,1.29,0.09
Butterfly biscuit,341.45,12948.50,6071.65,1120.15,169.12,202.49,377.85,20.46,572.05,128.56,1.09,0.08
Flan pastry,445.80,15339.07,6417.32,1133.32,102.33,21.85,90.83,19.16,193.23,97.91,1.15,0.11
Fruit flan,261.35,7674.35,3209.99,550.54,49.52,19.28,49.52,11.26,110.04,73.84,0.61,0.05
Orange cream flan,280.28,7843.59,3719.91,727.87,119.55,27.90,99.48,9.77,82.41,97.95,0.93,0.06
Fruit puree tart,286.50,10474.57,4419.59,674.31,42.87,19.64,44.94,12.89,49.65,94.06,0.63,0.09
Apple banana pie,243.99,6224.88,3027.56,1226.73,24.66,21.23,44.42,21.52,384.43,144.28,0.79,0.11
Lemon chiffon pie,259.31,8854.25,3813.59,648.38,70.30,34.43,63.18,10.86,94.95,78.60,0.61,0.06
Orange chiffon pie,207.57,6798.99,2928.84,504.69,53.94,30.34,52.11,11.03,73.23,100.87,0.62,0.05
Cream buns,215.74,9563.47,4255.82,695.39,93.93,45.27,72.18,8.47,45.49,79.54,0.50,0.03
Savoury puffs,190.79,7148.20,3263.00,558.58,70.73,68.83,122.75,17.43,2274.24,180.95,1.19,0.09
Choux swans,216.34,9445.21,4201.23,684.34,92.21,44.67,70.99,8.68,145.08,81.04,0.51,0.03
Potato aigrettes,530.03,9254.63,11523.52,30912.21,49.70,9.20,33.71,6.94,112.45,93.81,0.45,0.04
Cream horns,408.23,20431.09,9293.54,1323.04,93.08,30.93,53.56,9.61,57.11,72.97,0.44,0.04
Savoury cheese horns,295.15,12370.11,5455.69,998.12,50.63,121.83,148.19,14.28,212.28,105.28,0.63,0.05
Paneer patties,338.58,13274.50,6249.09,2328.54,45.19,129.90,116.71,18.29,158.44,93.01,0.79,0.09
Vegetable patties ,261.92,9655.98,4517.93,1975.69,39.33,18.96,47.42,20.62,139.52,180.62,0.87,0.11
Pearl millet infant food (Bajra shishu aahaar),362.44,1148.87,2155.52,2419.38,0.00,118.52,278.41,143.55,12.67,602.95,5.67,0.55
Sajina,345.26,507.67,537.17,1108.73,0.00,54.40,250.06,127.50,11.70,582.50,5.39,0.49
Cereal mix ,120.81,384.22,798.99,658.77,0.00,21.40,61.53,32.77,9.29,179.18,1.18,0.13
Pulse mix,83.29,58.09,81.30,252.23,0.00,14.93,61.34,28.72,3.88,151.35,1.29,0.13
Shishu ahar,93.37,243.98,514.53,436.56,0.00,13.78,41.56,23.11,2.68,82.43,1.02,0.07
Cereal pulse mix with amylase rice flour,151.57,331.61,516.24,1635.37,0.00,12.61,91.45,34.43,1.03,96.86,1.19,0.14
Banana groundnut paste/puree,213.19,1680.27,2208.71,1249.33,0.00,74.93,96.68,65.75,16.85,357.40,1.90,0.16
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,1734.27,3712.15,2466.53,0.00,50.46,198.16,100.09,12.33,465.80,2.76,0.41
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,573.02,254.58,91.76,0.00,44.74,63.19,30.44,9.64,188.00,1.22,0.11
Spinach khichri (Palak khichri/khichdi),102.18,257.35,361.35,1153.24,0.00,10.43,60.07,23.26,69.59,170.86,0.65,0.14
Vegetable mix,174.21,463.25,177.23,165.23,2.20,90.06,114.21,68.98,34.94,527.20,2.27,0.16
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,491.51,216.03,55.68,0.00,26.28,41.45,10.67,62.79,94.87,0.52,0.06
Maize porridge,89.57,233.80,373.14,1107.69,0.00,17.02,46.79,31.35,5.59,140.18,1.11,0.10
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,924.58,1927.95,1329.58,0.00,40.95,54.41,56.97,19.52,331.67,1.61,0.18
Split bengal gram burfi/fudge (Channa dal burfi),287.36,3705.35,1780.56,857.82,15.06,16.44,45.51,13.65,2.53,64.96,0.62,0.10
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,1598.16,806.84,612.09,6.15,54.95,69.85,53.73,22.29,283.60,2.16,0.09
Pearl millet mathri (Bajra mathri),785.08,11245.81,17198.65,50996.44,6.55,4.63,32.86,12.87,33.17,42.34,0.72,0.06
Sesame biscuit (Til ke biscuit),424.03,7901.51,5889.74,4005.82,28.19,298.06,390.18,151.07,182.26,373.54,5.73,0.46
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,8077.97,13743.12,42453.15,0.00,20.50,63.67,36.88,63.87,267.47,1.38,0.15
Poshtik namak paras,613.39,9755.68,12694.79,31364.78,14.30,60.74,130.17,61.00,44.01,203.84,2.03,0.24
Soya chikki,423.70,8052.53,3834.54,1719.03,32.71,81.25,149.09,102.97,17.24,534.75,4.47,0.27
Besan bathua chilla/cheela,373.82,9987.05,4651.72,1968.96,40.83,64.75,183.83,70.42,166.36,274.89,2.68,0.27
Wheat flour and nuts ladoos (Atta nuts ladoos),391.90,7707.38,6365.25,3664.81,25.45,127.29,249.13,124.38,8.07,338.21,4.01,0.44
Gram flour and semolina dhokla (Besan suji dhokla),198.91,1055.75,1443.33,4048.59,1.39,66.66,156.59,38.17,196.59,262.40,1.60,0.17
Atta dal burfi ,298.80,6250.71,3703.59,1401.16,23.81,17.07,140.06,57.29,3.56,268.58,1.56,0.30
Soya roti,283.96,1155.56,1720.72,5491.29,0.02,53.42,241.62,114.51,155.93,481.32,3.85,0.42
Poshtik khichdi/khichri,93.37,306.84,559.67,872.57,0.00,30.41,52.51,27.73,41.67,139.53,1.00,0.12
Namkeen daliya,295.11,871.42,1471.48,4544.53,0.00,35.98,6.13,4.34,149.63,51.52,2.99,0.02
Sprouts upma ,316.25,1497.31,2822.24,5520.69,0.00,36.78,112.94,44.10,147.82,248.98,2.76,0.37
Semolina idli (Suji/Rava idli),206.39,1054.87,1133.82,911.02,3.48,100.85,193.19,53.71,185.02,413.85,2.34,0.31
Poshtik chilla/cheela,159.53,383.59,553.70,1811.44,0.00,18.18,138.23,55.64,97.18,150.74,2.10,0.21
Stuffed bittergourd (dry) (Bharwa karela),217.65,2772.90,4548.07,14075.41,0.00,16.72,35.98,28.10,519.29,284.18,1.29,0.08
Cauliflower potato canjee,16.79,33.63,170.80,110.50,0.00,6.78,16.29,7.81,35.58,117.27,0.28,0.02
Creamed spinach,96.91,3508.15,1762.64,478.59,59.60,122.30,124.22,51.53,156.02,385.36,1.89,0.11
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,1682.09,752.44,102.71,1.30,69.36,56.22,6.62,16.64,85.24,0.15,0.03
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.49,1668.10,740.34,92.80,1.30,68.78,56.51,6.54,16.65,85.12,0.12,0.03
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.82,1666.45,738.94,92.78,1.30,69.80,56.43,6.35,16.65,87.59,0.19,0.03
Woodapple juice (Bel ka sharbat),34.18,170.91,113.37,278.01,0.00,11.85,16.69,5.23,127.45,71.86,0.12,0.04
Sattu drink,23.38,12.29,22.96,64.89,0.00,1.59,8.56,3.17,12.65,25.27,0.17,0.03
Apple and honey sorbet (Seb aur shehad ka sharbat),121.30,71.84,22.32,127.71,0.00,9.11,5.41,4.29,1.97,56.42,0.18,0.05
Thandai,101.18,2265.01,1979.56,732.16,0.00,112.31,98.38,25.58,22.69,140.99,0.60,0.12
Cucumber sharbat (Kheere ka sharbat),27.28,23.42,3.86,24.79,0.00,6.49,10.39,7.54,2.57,67.04,0.18,0.02
Apple oats chia seed smoothie,85.64,924.65,688.17,691.89,4.32,88.89,111.20,23.55,32.02,169.25,0.50,0.05
Nannari sharbat,88.79,3.16,0.43,4.51,0.00,2.67,0.45,0.61,1.16,3.35,0.05,0.03
Semolina milk drink (Thari kanji),44.16,406.45,655.71,194.40,0.93,8.26,23.98,11.57,11.95,84.57,0.36,0.09
Saffron milk (Kesariya doodh),102.18,2511.50,1393.49,240.75,0.00,110.88,92.72,10.54,23.69,114.64,0.21,0.05
Black rice kheer (Chak-hao kheer),147.94,2229.41,936.06,106.79,0.00,94.89,74.58,6.80,25.77,104.34,0.46,0.03
Coconut kheer (Nariyal ki kheer),162.61,5162.74,2272.01,551.85,3.22,89.52,83.39,23.26,45.97,188.16,0.53,0.10
Apple sago payasam (Seb aur sabudana ki kheer),136.50,4006.92,2525.72,506.10,10.85,102.11,93.90,16.81,39.45,129.65,0.31,0.07
Kesari bath,244.57,6871.24,3797.93,802.88,27.84,7.70,34.68,16.01,1.70,65.68,0.69,0.17
Putharekulu,318.30,4437.94,1961.99,441.87,18.39,6.11,65.64,12.93,2.67,67.48,0.38,0.15
Mango malpua,334.64,18192.95,7988.43,1563.92,75.21,10.64,46.06,20.34,1.89,89.28,0.70,0.10
Mango vanilla custard,147.63,2845.30,2757.99,828.29,0.35,84.86,93.60,25.11,30.12,160.49,0.58,0.14
Kiwi granola pudding,280.99,5668.31,3679.38,1527.59,20.27,62.20,128.82,36.13,59.21,274.53,1.45,0.17
Oats burfi,425.19,5110.56,7837.72,3258.64,10.33,128.58,276.19,96.12,8.15,314.78,2.46,0.34
Lotus seed halwa (Kamal gattay ka halwa),370.55,11042.29,6003.61,1817.66,45.24,82.84,304.33,105.76,3.06,658.52,1.80,0.21
Amaranth ladoo (Rajgira ladoo),454.15,9148.40,8187.25,3255.18,33.64,144.58,262.35,231.95,7.51,414.93,6.47,0.56
Chhena poda,344.57,6796.85,8023.86,1949.40,3.31,295.29,264.21,65.71,13.00,150.27,1.41,0.35
Sweet couscous dessert,196.20,2653.54,3090.03,1186.59,9.37,30.94,83.87,31.24,4.22,183.41,0.84,0.16
Sweetened yogurt (Shrikhand),107.18,1759.85,789.10,133.58,9.95,183.02,156.60,18.36,73.61,261.06,0.17,0.01
Thickened sweetened milk (Rabri),102.79,2657.93,1843.55,374.33,0.00,111.87,101.92,15.00,23.92,125.85,0.29,0.08
Gram flour halwa (Besan halwa),276.79,9598.22,4781.18,1277.19,33.12,77.42,98.95,20.44,15.40,128.25,0.67,0.12
Prawn sandwich,169.65,1229.45,5979.27,1397.05,40.70,75.53,146.92,38.95,213.38,152.55,1.11,0.23
Watercress sandwich,229.42,6517.53,2611.82,376.47,26.56,98.16,66.33,19.07,407.44,140.55,0.99,0.09
Fish sandwich ,150.20,1840.69,5610.90,2397.35,8.41,47.28,68.68,16.13,161.88,103.87,0.69,0.05
Kidney bean sandwich with cottage cheese,176.64,3175.76,2410.18,449.02,2.67,166.63,177.15,43.64,97.97,296.76,1.64,0.20
Finger millet biscuit (Ragi biscuit),458.56,15867.05,6613.29,1082.50,64.19,207.04,174.74,78.66,98.24,247.17,2.54,0.37
Buttermilk biscuit,322.54,10855.83,4385.48,697.41,45.41,67.16,184.46,17.22,323.74,117.49,0.77,0.08
Lemon cookies,394.48,14318.72,5857.16,945.65,82.16,72.04,104.31,12.50,84.71,79.05,0.69,0.08
Sweet potato biscuit (Shakarkand ke biscuit),296.40,8225.50,3308.40,600.18,33.83,56.34,234.27,19.30,339.58,183.69,0.81,0.12
Raspberry shortbread cookies,441.12,13357.98,5370.68,817.64,54.36,13.81,37.24,9.21,6.06,51.53,0.60,0.08
Pumpkin cookies ,218.40,2299.42,1009.54,234.02,22.23,19.36,62.44,8.86,51.49,82.12,0.52,0.08
Greenpea cookies,159.42,388.16,2295.02,1200.33,0.00,48.45,218.08,45.08,229.90,241.34,1.47,0.29
Sunflower cookies,520.62,11029.33,10688.66,12653.90,26.38,70.45,300.42,135.07,181.68,210.54,2.21,0.91
Cardamom cookies (Elaichi cookies),400.49,11410.87,5018.37,977.18,111.21,25.21,114.41,34.43,98.45,111.45,1.41,0.18
Hazelnut cookies,493.32,12708.05,17542.10,2441.33,46.99,47.43,109.64,50.12,81.06,233.17,1.29,0.39
Milk cookies,459.43,15668.93,6339.12,968.68,67.93,251.59,270.34,32.61,156.53,385.42,0.75,0.07
Cranberry cookies,272.48,7646.00,3271.85,611.45,58.22,36.16,80.10,11.53,58.25,93.04,0.71,0.08
Olive biscuit,438.29,12806.22,6872.87,981.73,48.63,10.76,38.11,9.54,120.10,53.32,1.37,0.07
Tutti fruitti biscuit,420.78,10976.62,4437.99,945.97,44.48,23.81,194.29,60.37,93.11,155.27,1.96,0.23
Peach blueberry preserves,177.38,17.33,92.39,53.02,0.00,9.03,11.29,5.14,2.81,129.46,0.33,0.09
Pear preserves (Naashpati ka murabba),101.24,52.91,16.56,70.01,0.00,6.57,4.90,5.64,2.10,74.27,0.23,0.08
Starfruit preserves ,128.93,10.37,9.31,57.51,0.00,5.24,4.00,4.09,2.06,49.72,0.20,0.06
