food_name,energy_kcal,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg
Spanish omelette/omlet,157.45,6203.93,3315.99,735.00,145.23,31.72,108.46,22.27,233.87,185.74,1.28,0.12
Mixed stock,25.19,497.77,743.09,354.35,10.55,2.06,21.44,3.07,9.51,39.43,0.07,0.01
Meat stock,24.48,517.24,775.86,362.07,11.03,0.86,20.69,2.41,8.62,31.03,0.05,0.01
White stock,6.99,344.34,138.24,28.25,1.39,1.58,2.12,0.92,1.56,11.78,0.03,0.01
Meat consomme (with mutton),29.76,8.81,3.91,14.76,0.00,115.88,177.19,38.67,12665.52,366.48,4.22,0.09
Consomme au julienne,27.76,108.97,110.21,101.84,6.40,85.89,153.97,36.50,10208.47,350.86,3.34,0.11
Consomme au vermicelli,29.94,113.40,130.65,63.33,7.85,97.34,179.98,41.25,12524.61,367.55,3.98,0.12
Green pea soup (Matar ka soup),39.81,892.63,532.86,135.79,4.16,46.63,103.29,38.39,10958.11,329.91,2.18,0.08
Spinach soup (Palak ka soup),32.59,1078.77,427.86,122.66,4.24,56.23,98.10,50.72,12088.21,415.55,2.68,0.08
Mixed vegetable soup,35.71,1335.49,555.06,120.26,3.87,50.69,89.51,30.09,9202.27,295.84,1.74,0.06
Cheese soup,41.13,1911.77,807.87,126.50,9.56,83.65,153.98,39.83,13695.35,350.94,2.40,0.05
Mulligatawny soup,54.42,781.44,317.78,116.00,3.05,43.89,113.18,39.75,11602.50,363.74,2.65,0.12
Cream of carrot soup,59.77,2096.26,867.07,178.80,6.67,57.24,95.62,29.98,8694.79,289.87,1.73,0.06
Cream of broccoli soup,56.14,2282.01,951.92,182.28,7.67,66.55,108.55,30.93,8792.43,313.40,1.82,0.06
Cream of potato soup,60.20,2043.44,846.39,152.88,6.53,51.97,92.56,31.03,8503.99,348.61,1.70,0.06
Almond soup (Badam ka soup),78.65,2578.14,2371.07,616.89,28.18,114.95,164.86,38.93,8376.94,282.29,2.83,0.11
Cold cucumber cream soup ,11.88,187.56,73.56,46.84,0.72,8.02,10.71,7.37,207.89,64.98,0.16,0.02
Cold tomato soup,16.90,963.69,385.52,79.70,3.88,4.20,2.27,2.67,287.15,20.03,0.10,0.01
Chicken stew,127.55,1988.35,3026.33,3328.22,32.34,31.53,85.88,24.38,79.62,270.59,0.90,0.09
Veg paneer stew,145.55,2836.67,2036.05,2959.74,0.00,160.51,122.33,33.52,73.15,272.77,1.37,0.14
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,888.73,1432.34,4472.19,0.00,24.91,124.85,53.42,241.19,190.31,1.81,0.22
